dt_record	Number_of_CH	Image_Size	MAX_Image_Intensity	ImageMeanValue	TimeExp	SunArea	SunMeanIntensity	SunMinIntensity	SunMaxIntensity	SunVarIntensity	SunArea_rel	SunArea_km	Part_of_Mean_Inten	CH_Intensity_threshold	Size_Of_Region	Latitude_Size_Of_Region	RegionShiftX	RegionShiftY	Total_Nubmers_of_CH	Threshold_for_CH_Area_Rate	Threshold_for_CH_Area	CarLon	CHArea	CHMeanIntensity	CHMinIntensity	CHMaxIntensity	CHVarIntensity	LocationMaxHistCH	CHPerimeter	CHCentroidLat	CHCentroidLon	Min_Lat	Max_Lat	Min_Lon	Max_Lon	Inclination	CorrectAlongLat	CorrectAlongLon	RightSideCHMaxInt	LeftSideCHMaxInt	AboveCHMaxInt	BelowCHMaxInt	RightSideCHMeanInt	LeftSideCHMeanInt	AboveCHMeanInt	BelowCHMeanInt	Numbers_of_CH	Total_Area_CH	Relative_CH_Area	Total_CorrectSphereArea_CH	Relative_CH_CorrectSphereArea	fitsname
2014-01-01T11:00:06	0	1024	13910	357,86	2	519704	39,16	2	255	1312,81			0,25	9	85	85	0	0	73	0,4	2079	183	22216	6,14	2	89	10,31	4	1326,26	7	14	-9	22	-5	34	-23	1,04	1,03	49	36	93	192	25	19	24	59	1	22216	4,27	23672	2,28	
2014-01-01T12:00:06	0	1024	16043	356,62	2	519736	39,07	2	255	1303,09			0,25	9	85	85	0	0	73	0,4	2079	182	22167	5,99	2	67	8,73	4	1281,07	7	15	-9	22	-5	35	-23	1,04	1,02	76	38	72	228	26	19	24	65	1	22167	4,27	23562	2,27	
2014-01-01T13:00:07	0	1024	13832	256,1	1,43	519824	39,16	2	255	1306,33			0,25	9	85	85	0	0	49	0,4	2079	181	21903	6,09	2	60	8,61	4	1394,06	7	15	-9	22	-4	35	-22	1,04	1,03	53	34	81	183	25	19	24	63	1	21903	4,21	23336	2,25	
2014-01-01T14:00:06	0	1024	15771	359,42	2	519872	39,15	2	255	1306,48			0,25	9	85	85	0	0	70	0,4	2079	181	21688	6,08	2	66	9,87	4	1380,32	7	16	-9	21	-4	36	-23	1,04	1,02	53	33	76	236	24	19	23	64	1	21688	4,17	23112	2,23	
2014-01-01T15:00:06	0	1024	15406	358,66	2	519904	39,06	2	255	1302,38			0,25	9	85	85	0	0	50	0,4	2080	180	21689	6,14	2	59	10,36	4	1313,69	7	16	-9	21	-3	36	-22	1,04	1,03	89	33	83	231	24	19	24	63	1	21689	4,17	23193	2,24	
2014-01-01T16:00:07	0	1024	16383	255,94	1,43	519976	39,23	2	255	1310,61			0,25	9	85	85	0	0	57	0,4	2080	180	21300	6,1	2	53	8,29	5	1307,15	7	17	-9	21	-2	36	-22	1,04	1,02	90	33	92	230	24	19	24	60	1	21300	4,1	22753	2,19	
2014-01-01T17:00:06	0	1024	16383	359,93	2	520016	39,3	2	255	1353,43			0,25	9	85	85	0	0	65	0,4	2080	179	21471	6,05	2	59	8,89	4	1324,32	7	18	-9	22	-2	37	-23	1,05	1,02	92	31	71	219	22	18	23	62	1	21471	4,13	22951	2,21	
2014-01-01T18:00:06	0	1024	15917	361,73	2	520024	39,53	3	255	1376,95			0,25	9	85	85	0	0	64	0,4	2080	179	21329	6,15	3	47	8,34	4	1338,46	8	18	-9	23	-1	37	-22	1,05	1,02	91	36	83	230	23	18	22	62	1	21329	4,1	22915	2,21	
2014-01-01T19:00:09	0	1024	13769	33,13	0,18	520056	40,74	3	255	1376,97			0,25	10	85	85	0	0	151	0,4	2080	178	20272	7,62	3	66	10,46	6	1515,67	7	19	-9	22	0	37	-16	1,06	1,02	93	35	103	175	24	19	25	59	1	20272	3,9	21903	2,11	
2014-01-01T20:00:07	0	1024	16383	222,51	1,23	520056	39,25	3	255	1350,89			0,25	9	85	85	0	0	66	0,4	2080	178	21047	6,33	3	52	9,72	4	1473,66	8	19	-9	23	0	38	-17	1,06	1,02	75	30	59	246	22	17	19	63	1	21047	4,05	22770	2,2	
2014-01-01T21:03:06	0	1024	16246	367,24	2	520032	39,28	3	255	1410,48			0,25	9	85	85	0	0	69	0,4	2080	177	21669	6,56	3	52	14,17	4	1344,5	8	19	-9	24	1	39	-16	1,06	1,03	64	30	34	255	23	18	17	100	1	21669	4,17	23629	2,28	
2014-01-01T22:00:08	0	1024	9527	114,25	0,61	520016	39,99	3	255	1513,53			0,25	9	85	85	0	0	86	0,4	2080	176	20951	6,83	3	49	13,19	5	1402,67	8	20	-9	24	2	39	-17	1,06	1,03	70	31	34	255	23	18	18	96	1	20951	4,03	22833	2,2	
2014-01-01T23:00:06	0	1024	16375	369,65	2	519992	39,78	3	255	1453,65			0,25	9	85	85	0	0	64	0,4	2080	176	21372	6,63	3	59	12,94	4	1295,49	8	21	-9	24	2	40	-16	1,07	1,03	73	31	28	241	24	18	16	76	1	21372	4,11	23448	2,26	
2014-01-02T00:00:06	0	1024	16162	368,03	2	519928	39,79	3	255	1428,98			0,25	9	85	85	0	0	55	0,4	2080	175	20459	6,34	3	77	10,36	4	1508,49	8	21	-9	24	2	40	-16	1,07	1,03	49	30	33	204	24	18	16	77	1	20459	3,93	22512	2,17	
2014-01-02T01:00:06	0	1024	14743	369,11	2	519883	39,98	3	255	1441,57			0,25	9	85	85	0	0	56	0,4	2080	175	21003	6,84	3	69	15,49	4	1366,12	8	22	-9	24	4	41	-17	1,07	1,03	47	30	37	217	23	17	17	76	1	21003	4,04	23143	2,23	
2014-01-02T02:00:06	1	1024	13892	369,79	2	519840	40,09	2	255	1470,83			0,25	10	85	85	0	0	90	0,4	2079	174	2087	8,34	6	11	1,37	8	308,19	-52	-22	-62	-44	-30	-21	96	1,02	1,56	17	35	22	38	10	22	14	13	2	24757	4,76	28390	2,74	
2014-01-02T03:00:07	0	1024	16383	249,21	1,33	519760	40,1	3	255	1473,95			0,25	10	85	85	0	0	115	0,4	2079	174	22552	7,39	3	61	17,03	5	1527,84	8	22	-9	24	4	42	-17	1,08	1,03	44	28	27	209	26	17	17	81	1	22552	4,34	25006	2,41	
2014-01-02T04:00:06	0	1024	14308	374,49	2	519728	40,48	3	255	1511,75			0,25	10	85	85	0	0	73	0,4	2079	173	21363	7,64	3	69	18,42	5	1482,1	8	23	-9	24	5	43	-17	1,09	1,03	69	29	28	191	27	17	18	79	1	21363	4,11	23916	2,31	
2014-01-02T05:00:06	0	1024	15048	376,24	2	519632	40,33	3	255	1548			0,25	10	85	85	0	0	95	0,4	2079	173	21992	7,38	3	78	19,16	4	1376,36	8	23	-9	24	6	44	-18	1,09	1,02	72	49	25	230	27	17	18	80	1	21992	4,23	24576	2,37	
2014-01-02T06:00:06	0	1024	16258	373,65	2	519632	40,41	3	255	1563,24			0,25	10	85	85	0	0	109	0,4	2079	172	21478	7,41	3	74	21,55	4	1320,52	8	24	-9	23	6	44	-18	1,1	1,02	91	40	31	255	28	17	18	85	1	21478	4,13	24029	2,32	
2014-01-02T07:00:06	0	1024	16383	373,65	2	519608	40,46	3	255	1570,32			0,25	10	85	85	0	0	105	0,4	2078	172	20954	7,54	3	74	22,84	5	1399,98	8	25	-8	23	7	45	-17	1,1	1,02	69	39	36	224	28	17	19	80	1	20954	4,03	23568	2,27	
2014-01-02T08:00:06	0	1024	15430	371,38	2	519608	40,29	3	255	1559,14			0,25	10	85	85	0	0	92	0,4	2078	171	20452	7,76	3	86	27,42	5	1398,5	8	25	-8	22	8	45	-18	1,1	1,01	67	38	37	209	28	17	19	77	1	20452	3,94	22869	2,21	
2014-01-02T09:00:06	0	1024	13558	369,59	2	519616	40,16	3	255	1535,24			0,25	10	85	85	0	0	98	0,4	2078	170	19998	8,02	3	109	32,76	5	1358,16	8	26	-9	23	8	46	-18	1,11	1,02	93	32	44	255	28	17	20	81	1	19998	3,85	22574	2,18	
2014-01-02T10:00:06	0	1024	15367	370,51	2	519632	40,2	3	255	1545,17			0,25	10	85	85	0	0	98	0,4	2079	170	18129	7,05	3	45	7,23	5	1735,42	8	26	-8	23	9	47	-18	1,11	1,02	89	35	43	217	29	17	20	75	1	18129	3,49	20519	1,98	
2014-01-02T11:00:06	1	1024	16042	370,15	2	519728	40,29	3	255	1547,21			0,25	10	85	85	0	0	94	0,4	2079	169	2146	8,72	6	13	1,38	10	327,16	-56	-22	-65	-45	-33	-16	71	1,5	1,76	32	32	29	38	15	22	17	14	2	19578	3,77	25451	2,46	
2014-01-02T12:00:06	0	1024	16383	371,83	2	519744	40,44	3	255	1587,61			0,25	10	85	85	0	0	111	0,4	2079	169	16431	6,89	3	29	4,75	5	1648,95	8	27	-8	23	10	48	-18	1,12	1,02	66	32	35	206	27	17	20	76	1	16431	3,16	18765	1,81	
2014-01-02T13:00:06	1	1024	16274	370,75	2	519832	40,35	3	255	1567,36			0,25	10	85	85	0	0	103	0,4	2079	168	2099	8,86	6	12	1,16	10	449,57	-55	-20	-65	-45	-32	-15	69	1,19	1,76	22	34	25	28	13	23	16	14	2	19064	3,67	23929	2,31	
2014-01-02T14:00:06	1	1024	15732	371,73	2	519880	40,55	3	255	1596,33			0,25	10	85	85	0	0	85	0,4	2080	168	2251	8,66	6	12	1,22	9	379	-55	-20	-65	-45	-32	-12	68	1,55	1,71	24	48	27	30	15	22	16	14	2	17938	3,45	24030	2,32	
2014-01-02T15:00:06	1	1024	16243	373,96	2	519920	40,85	3	255	1645,18			0,25	10	85	85	0	0	89	0,4	2080	167	2224	8,49	6	15	1,32	8	381,83	-55	-19	-65	-45	-34	-12	47	1,57	1,71	22	36	26	30	15	24	17	14	2	16968	3,26	24004	2,32	
2014-01-02T16:00:06	1	1024	15785	373,63	2	519984	40,88	3	255	1629,3			0,25	10	85	85	0	0	91	0,4	2080	167	2496	8,49	6	16	1,69	10	424,11	-56	-19	-66	-45	-32	-12	83	1,37	1,69	33	29	28	40	14	22	18	16	2	17203	3,31	23924	2,31	
2014-01-02T17:00:06	1	1024	15933	373,23	2	520016	40,95	3	255	1613,49			0,25	10	85	85	0	0	79	0,4	2080	166	2949	8,56	5	16	1,76	10	459,19	-56	-18	-66	-44	-38	-12	25	1,47	1,68	32	41	29	46	14	25	19	16	2	17201	3,31	24886	2,4	
2014-01-02T18:00:06	1	1024	14139	371,22	2	520048	40,8	3	255	1582,44			0,25	10	85	85	0	0	83	0,4	2080	165	3124	8,68	5	28	2,54	10	356,03	-56	-17	-67	-44	-35	-10	29	1,48	1,69	26	34	29	42	14	24	18	17	2	17048	3,28	25086	2,42	
2014-01-02T19:00:06	2	1024	16349	370,18	2	520064	40,66	3	255	1571,19			0,25	10	85	85	0	0	86	0,4	2080	165	2990	8,54	5	21	1,57	10	501,03	-56	-16	-67	-44	-33	-9	47	1,6	1,69	27	35	38	45	15	25	18	19	3	16585	3,19	25869	2,5	
2014-01-02T20:00:06	1	1024	16116	369,95	2	520064	40,75	3	255	1595,03			0,25	10	85	85	0	0	93	0,4	2080	164	2890	8,51	5	14	1,53	9	448,26	-55	-15	-68	-44	-33	-7	54	1,6	1,7	25	35	30	42	14	26	17	21	2	16328	3,14	24814	2,39	
2014-01-02T21:00:30	1	1024	15509	371,16	2	520056	40,95	3	255	1617,93			0,25	10	85	85	0	0	69	0,4	2080	164	2644	8,51	5	19	1,51	8	471,91	-55	-14	-66	-44	-31	-6	53	1,57	1,67	30	37	27	35	14	26	17	17	2	15962	3,07	23891	2,3	
2014-01-02T21:03:06	2	1024	14590	371,08	2	520048	41,2	3	255	1609,29			0,25	10	85	85	0	0	68	0,4	2080	164	2379	8,61	6	13	1,33	9	410,56	-55	-14	-66	-45	-32	-6	54	1,61	1,65	25	41	30	36	14	26	17	17	3	15336	2,95	23307	2,25	
2014-01-02T22:00:06	2	1024	14977	375,11	2	520024	41,39	3	255	1670,03			0,25	10	85	85	0	0	81	0,4	2080	163	2415	8,68	5	19	1,82	10	412,11	-55	-14	-66	-45	-31	-6	55	1,6	1,65	29	36	28	35	13	26	17	18	3	15728	3,02	24005	2,32	
2014-01-02T23:00:06	1	1024	16359	376,06	2	520000	41,42	3	255	1682,07			0,25	10	85	85	0	0	88	0,4	2080	163	5536	7,02	3	19	4,07	5	550,54	13	27	2	22	20	35	75	1,17	1,09	33	69	27	39	10	21	15	18	2	13141	2,53	17496	1,69	
2014-01-02T23:00:18	1	1024	16117	376,02	2	520000	41,42	3	255	1681,84			0,25	10	85	85	0	0	84	0,4	2080	163	5557	7,03	3	19	4,12	5	561,41	13	27	2	22	20	35	74	1,18	1,09	33	67	27	41	10	21	15	18	2	13175	2,53	17576	1,7	
2014-01-03T00:00:06	1	1024	14065	371,37	2	519944	40,98	3	255	1614,58			0,25	10	85	85	0	0	73	0,4	2080	162	5150	6,99	3	22	4,01	5	554,78	13	27	3	22	21	36	72	1,18	1,1	30	84	29	49	10	23	16	21	2	12598	2,42	16967	1,64	
2014-01-03T01:00:06	1	1024	16377	368,75	2	519888	40,65	3	255	1570,34			0,25	10	85	85	0	0	73	0,4	2080	162	5359	7,15	3	24	4,72	5	507,43	12	28	3	21	22	36	79	1,19	1,08	31	79	29	46	11	20	16	21	2	12702	2,44	17205	1,66	
2014-01-03T02:00:06	1	1024	15963	369,4	2	519840	40,71	3	255	1605,84			0,25	10	85	85	0	0	98	0,4	2079	161	6853	7,6	3	26	4,58	8	788,75	14	27	3	23	18	37	87	1,13	1,06	91	92	26	45	18	29	14	22	2	14355	2,76	18943	1,83	
2014-01-03T02:00:42	1	1024	16383	369,49	2	519840	40,67	3	255	1607,93			0,25	10	85	85	0	0	102	0,4	2079	161	5428	7,3	3	27	5,16	8	505,57	12	28	3	21	21	36	71	1,16	1,11	91	149	30	44	14	25	16	22	2	12960	2,49	17650	1,7	
2014-01-03T03:00:06	1	1024	16058	370,3	2	519784	40,81	3	255	1633,57			0,25	10	85	85	0	0	95	0,4	2079	161	7239	7,82	3	35	5,52	8	799,03	14	27	2	23	19	37	89	1,14	1,06	104	76	27	44	20	27	14	21	2	14578	2,8	19200	1,85	
2014-01-03T04:00:08	1	1024	16021	105,89	0,57	519736	40,98	4	255	1622,53			0,25	10	85	85	0	0	130	0,4	2079	160	6431	7,82	4	32	4,01	9	864,19	14	28	3	24	19	38	92	1,15	1,05	110	97	25	46	22	27	14	23	2	13205	2,54	17724	1,71	
2014-01-03T05:00:06	2	1024	13050	369,84	2	519648	40,85	3	255	1646,58			0,25	10	85	85	0	0	102	0,4	2079	159	2156	8,36	5	16	2,1	9	313,75	-55	-9	-65	-46	-19	-2	72	1,44	1,61	48	39	33	39	13	22	18	18	3	15915	3,06	23318	2,25	
2014-01-03T06:00:06	1	1024	15607	369,7	2	519632	40,94	3	255	1652,97			0,25	10	85	85	0	0	101	0,4	2079	159	6714	7,93	4	64	16,91	6	662,42	2	41	-8	13	33	57	10	1,45	1,02	74	47	47	181	44	25	29	73	2	13735	2,64	18483	1,78	
2014-01-03T07:00:06	3	1024	14261	373,79	2	519616	41,27	3	255	1698,67			0,25	10	85	85	0	0	84	0,4	2078	158	2176	8,4	5	14	2,26	10	337,2	-55	-8	-65	-46	-18	-1	66	1,43	1,58	33	43	63	44	12	22	18	18	4	18218	3,51	25934	2,5	
2014-01-03T08:00:06	2	1024	15819	374,55	2	519616	41,34	3	255	1675,01			0,25	10	85	85	0	0	91	0,4	2078	158	2161	8,62	5	21	2,98	10	360,86	-56	-8	-65	-46	-19	-1	67	1,45	1,59	41	45	56	42	12	21	19	18	3	15667	3,02	23268	2,25	
2014-01-03T09:00:06	3	1024	16237	375,7	2	519632	41,61	4	255	1674,73			0,25	10	85	85	0	0	124	0,4	2079	157	2169	8,61	5	17	2,3	10	412,22	-56	-8	-65	-46	-20	1	48	1,43	1,55	20	35	61	41	11	21	19	17	4	17898	3,44	26729	2,58	
2014-01-03T10:00:06	2	1024	16075	374,16	2	519632	41,41	3	255	1638,47			0,25	10	85	85	0	0	144	0,4	2079	157	2445	8,61	5	16	2,45	10	524,78	-55	-6	-66	-45	-23	5	38	1,35	1,48	18	33	64	33	10	22	17	19	3	18176	3,5	24490	2,36	
2014-01-03T11:00:06	1	1024	15754	373,98	2	519728	41,42	3	255	1637,96			0,25	10	85	85	0	0	121	0,4	2079	156	2679	8,66	5	17	2,26	10	467,53	-55	-6	-65	-44	-20	5	34	1,27	1,48	20	38	60	40	10	23	16	18	2	14770	2,84	19228	1,86	
2014-01-03T12:00:06	1	1024	13570	372,66	2	519744	41,39	4	255	1607,34			0,25	10	85	85	0	0	110	0,4	2079	156	2613	8,65	5	16	1,86	10	455,19	-55	-5	-65	-44	-20	5	40	1,35	1,48	19	46	49	38	10	23	16	19	2	14072	2,71	18481	1,78	
2014-01-03T13:00:09	1	1024	9500	48,19	0,26	519832	41,92	4	255	1595,44			0,25	10	85	85	0	0	205	0,4	2079	155	4708	8,34	4	62	14,09	7	683,44	2	44	-8	12	38	54	87	1,45	1,02	57	43	53	213	27	24	31	64	2	9831	1,89	12907	1,25	
2014-01-03T14:00:06	2	1024	15913	371,52	2	519880	41,03	3	255	1590,36			0,25	10	85	85	0	0	108	0,4	2080	154	2757	8,75	5	23	2,24	10	511,81	-55	-4	-66	-44	-19	6	35	1,28	1,44	18	33	57	38	10	22	15	20	3	14433	2,78	21187	2,04	
2014-01-03T15:00:06	2	1024	14125	371,83	2	519936	41,04	3	255	1595,86			0,25	10	85	85	0	0	132	0,4	2080	154	3643	8,94	5	36	2,51	10	662,95	-55	-1	-66	-44	-19	16	9	1,04	1,44	39	32	21	34	18	22	16	20	3	14969	2,88	21061	2,03	
2014-01-03T16:00:07	2	1024	16383	275,96	1,47	520000	41,33	4	255	1641,48			0,25	10	85	85	0	0	101	0,4	2080	153	3338	8,88	5	18	1,78	10	672,95	-54	0	-66	-44	-18	12	23	1,16	1,42	23	33	21	35	13	23	16	20	3	14309	2,75	20628	1,99	
2014-01-03T17:00:06	1	1024	14045	373,61	2	520016	41,44	4	255	1648,17			0,25	10	85	85	0	0	121	0,4	2080	153	4588	7,66	4	33	5,59	6	428,86	2	46	-5	11	39	55	89	1,5	1,02	112	54	81	99	28	25	28	21	2	10587	2,04	14755	1,42	
2014-01-03T18:00:06	2	1024	14673	369,24	2	520056	40,96	4	255	1619,08			0,25	10	85	85	0	0	128	0,4	2080	152	3437	9,12	6	15	0,91	9	723,34	-53	2	-65	-44	-13	17	13	1,05	1,43	34	33	22	36	18	25	15	20	3	13771	2,65	19748	1,9	
2014-01-03T19:00:07	1	1024	14674	263,42	1,43	520072	40,86	4	255	1610,77			0,25	10	85	85	0	0	140	0,4	2080	152	4199	7,54	4	28	3,54	6	497,39	2	47	-5	11	41	56	81	1,53	1,05	97	56	95	101	28	24	29	24	2	9921	1,91	14129	1,36	
2014-01-03T20:00:06	1	1024	15537	366,95	2	520080	40,58	4	255	1599,66			0,25	10	85	85	0	0	124	0,4	2080	151	4054	7,43	4	16	2,59	6	487,39	2	48	-5	10	42	56	83	1,54	1,04	154	58	102	123	28	25	29	23	2	9676	1,86	14118	1,36	
2014-01-03T21:00:32	1	1024	14429	182,53	0,99	520064	40,8	4	255	1608,3			0,25	10	85	85	0	0	132	0,4	2080	151	3736	7,65	5	27	2,34	7	494,94	2	49	-5	10	43	56	79	1,56	1,06	97	58	97	132	29	25	29	25	2	9044	1,74	12384	1,19	
2014-01-03T21:03:06	1	1024	14750	368,58	2	520064	40,68	4	255	1615,05			0,25	10	85	85	0	0	129	0,4	2080	151	3803	7,55	5	29	2,96	6	489,63	2	49	-5	10	43	56	84	1,56	1,03	98	58	107	126	29	25	29	25	2	9240	1,78	12182	1,17	
2014-01-03T22:00:08	1	1024	15802	184,39	0,99	520024	40,99	4	255	1635,6			0,25	10	85	85	0	0	140	0,4	2080	150	3673	7,78	5	27	3,11	7	458,56	2	49	-5	10	43	57	81	1,58	1,05	95	60	99	120	31	25	29	27	2	8814	1,69	11847	1,14	
2014-01-03T23:00:06	2	1024	15081	370,45	2	520000	40,88	4	255	1611,47			0,25	10	85	85	0	0	111	0,4	2080	150	2224	9,02	7	12	0,88	9	350,13	-51	12	-61	-45	5	21	-40	1,39	1,58	32	24	24	36	17	13	15	20	3	10667	2,05	16273	1,57	
2014-01-04T00:00:06	2	1024	13219	372,54	2	519944	41,23	4	255	1645,04			0,25	10	85	85	0	0	118	0,4	2080	149	2218	8,74	6	16	1,16	9	368,37	-51	12	-61	-44	6	23	-44	1,46	1,58	25	24	21	42	17	14	15	19	3	10385	2	16119	1,56	
2014-01-04T01:00:06	2	1024	15271	370,21	2	519896	41,24	5	255	1618,14			0,25	10	85	85	0	0	111	0,4	2080	148	2280	8,93	6	17	1,49	9	324,58	-51	13	-61	-44	7	24	-47	1,5	1,59	25	26	21	35	17	14	15	19	3	10122	1,95	16244	1,57	
2014-01-04T02:00:06	2	1024	15003	368,5	2	519840	41,47	5	255	1627,52			0,25	10	85	85	0	0	119	0,4	2079	148	2245	8,8	6	17	1,32	9	377,1	-51	14	-61	-44	8	25	-48	1,51	1,58	27	52	22	30	17	14	15	18	3	9341	1,8	15428	1,49	
2014-01-04T03:00:06	3	1024	16383	368,08	2	519792	41,52	4	255	1619,94			0,25	10	85	85	0	0	95	0,4	2079	147	2105	9,16	6	28	5,53	10	516,93	39	-64	28	47	-67	-60	55	1	1,08	45	47	60	37	13	13	22	21	4	11185	2,15	15176	1,46	
2014-01-04T04:00:06	3	1024	15542	367,49	2	519736	41,5	4	255	1607,38			0,25	10	85	85	0	0	104	0,4	2079	147	2136	8,81	6	14	1,55	9	329,4	-51	14	-61	-44	9	25	105	1,52	1,59	29	92	22	42	19	16	15	18	4	10867	2,09	16701	1,61	
2014-01-04T05:00:06	2	1024	15649	367,32	2	519648	41,75	5	255	1594,98			0,25	10	85	85	0	0	105	0,4	2079	146	2449	8,78	7	30	2,09	8	389,06	2	53	-5	9	48	60	94	1,71	1	64	42	77	196	32	21	29	36	3	8667	1,67	11582	1,12	
2014-01-04T06:00:06	2	1024	14581	367,66	2	519632	41,68	4	255	1609,7			0,25	10	85	85	0	0	122	0,4	2079	146	2320	8,74	7	17	1,35	8	355,99	2	54	-5	9	48	61	86	1,72	1,03	74	43	86	176	34	22	28	35	3	8801	1,69	11462	1,11	
2014-01-04T07:00:06	2	1024	16383	368	2	519616	41,58	4	255	1590,3			0,25	10	85	85	0	0	115	0,4	2078	145	2182	8,95	7	24	2,19	9	351,95	2	55	-5	9	49	61	86	1,75	1,03	70	43	79	156	35	22	29	36	3	8410	1,62	11119	1,07	
2014-01-04T08:00:06	1	1024	15246	366,71	2	519616	41,44	4	255	1565,48			0,25	10	85	85	0	0	107	0,4	2078	145	3030	9,13	5	32	5,28	9	424,22	39	-62	28	47	-65	-55	59	1,01	1,17	76	45	78	37	19	12	24	20	2	6392	1,23	7288	0,7	
2014-01-04T09:00:06	1	1024	16383	366,6	2	519632	41,4	5	255	1541,75			0,25	10	85	85	0	0	112	0,4	2079	144	2931	8,97	6	25	3,51	8	457,33	39	-62	29	47	-64	-58	57	1,01	1,13	33	35	71	28	11	10	25	19	2	6273	1,21	7156	0,69	
2014-01-04T10:00:06	1	1024	15618	368,84	2	519632	41,91	5	255	1578,99			0,25	10	85	85	0	0	107	0,4	2079	143	2685	9,09	6	28	4,36	8	402,76	39	-62	29	47	-62	-57	62	1,01	1,24	28	28	74	30	12	10	27	18	2	5593	1,08	6952	0,67	
